Dryer,temp,hum,dayOfWeeks
0.007333333,14.21,0.58,6
0.007257778,11.65,0.67,6
0.006686667,11.12,0.65,6
0.006665,11.53,0.65,6
0.005610556,12.01,0.65,6
0.005491667,10.67,0.69,0
0.005397778,8.65,0.78,0
0.005255556,6.91,0.8,0
0.005076111,5.67,0.77,0
0.005057222,4.36,0.84,0
0.004855556,3.76,0.8,0
0.004887778,2.26,0.83,0
0.004886667,1.34,0.81,0
0.00557,1.99,0.85,0
0.005486667,8.98,0.81,0
0.007732778,16.32,0.69,0
0.005005,23.12,0.57,0
0.004884444,28.53,0.48,0
0.004778889,31.58,0.45,0
0.004601111,34.01,0.42,0
0.004711667,35.35,0.42,0
0.004951667,35.4,0.46,0
0.005319444,35.86,0.5,0
0.005683333,35.28,0.75,0
0.005557778,34.76,0.88,0
0.005287778,36.61,0.89,0
0.005412222,37.76,0.88,0
0.005495556,40.74,0.87,0
0.005409444,40.8,0.88,0
0.005507778,40.9,0.88,1
0.005466111,42.57,0.88,1
0.005607778,43.27,0.91,1
0.005700556,43.37,0.92,1
0.005807222,44.24,0.93,1
0.005895,47.03,0.9,1
0.005958333,45.63,0.94,1
0.006831111,48.84,0.92,1
0.006868889,51.78,0.92,1
0.006147222,55.72,0.83,1
0.006947778,46.68,0.88,1
0.029056111,44.31,0.9,1
0.006785,42.17,0.92,1
0.006477778,36.1,0.8,1
0.006215,33.88,0.81,1
0.006187778,33.38,0.72,1
0.006140556,31.15,0.64,1
0.007073333,29.73,0.61,1
0.007153333,28.56,0.61,1
0.007032778,27.51,0.64,1
0.007282778,25.81,0.6,1
0.006866667,24.71,0.55,1
0.006929444,23.4,0.58,1
0.005727778,21.36,0.61,1
0.005090556,15.76,0.5,2
0.005076667,13.08,0.47,2
0.004985,10.11,0.49,2
0.004968889,8.62,0.49,2
0.004813333,7.41,0.48,2
0.004600556,6.3,0.51,2
0.004457778,5.26,0.55,2
0.004514444,4.93,0.58,2
0.004661667,3.75,0.64,2
0.004576667,5.25,0.52,2
0.007419444,5.37,0.5,2
0.004611111,6.42,0.46,2
0.005161111,5.88,0.43,2
0.005602778,6.08,0.42,2
0.005617778,5.94,0.43,2
0.005537778,5.96,0.42,2
0.005928889,6.19,0.41,2
0.006902778,4.68,0.42,2
0.006562778,4.52,0.44,2
0.007536667,4.25,0.43,2
0.007268333,4.14,0.43,2
0.006366667,4.05,0.44,2
0.005993889,4.17,0.48,2
0.005581111,4.71,0.47,2
0.005076111,4.73,0.47,3
0.005223889,4.65,0.51,3
0.005264444,4.56,0.54,3
0.005270556,4.66,0.56,3
0.005451111,4.39,0.58,3
0.005487222,4.3,0.57,3
0.005747778,4.08,0.6,3
0.006007778,4,0.61,3
0.005678333,4.74,0.61,3
0.006127778,7.43,0.55,3
0.006714444,10.26,0.53,3
0.006236667,12.39,0.5,3
0.006237222,14.55,0.47,3
0.006241111,15.84,0.45,3
0.006321667,17.5,0.44,3
0.006069444,17.3,0.44,3
0.006021667,17.05,0.45,3
0.006606667,14.6,0.53,3
0.005825,13.49,0.57,3
0.006909444,12.01,0.61,3
0.006822778,10.57,0.71,3
0.00648,10.92,0.72,3
0.006894444,11.74,0.7,3
0.00659,12.15,0.7,3
0.005287222,13.63,0.63,4
0.005170556,13.68,0.64,4
0.005042778,13.44,0.64,4
0.005165556,14.62,0.59,4
0.005070556,14.05,0.62,4
0.00493,14.64,0.62,4
0.004751111,13.56,0.64,4
0.004598889,14.24,0.66,4
0.004472222,14.89,0.66,4
0.004526667,17.18,0.66,4
0.004501667,19.77,0.6,4
0.004646111,22.04,0.53,4
0.00478,23.85,0.47,4
0.005119444,24.33,0.46,4
0.004878333,25.3,0.46,4
0.004907222,25.44,0.46,4
0.004918333,25.04,0.47,4
0.006445,19.64,0.64,4
0.006668889,16.89,0.72,4
0.00694,14.64,0.76,4
0.006226667,13.06,0.79,4
0.006265,11.57,0.81,4
0.006598333,11.05,0.81,4
0.006752222,9.63,0.85,4
0.006362778,9.78,0.81,5
0.006435556,10.19,0.83,5
0.006595,12.51,0.8,5
0.006701111,14.41,0.76,5
0.005990556,17.23,0.73,5
0.00606,18.3,0.86,5
0.006040556,19.45,0.86,5
0.005986667,19.98,0.87,5
0.006706667,20.54,0.87,5
0.006208889,23.7,0.81,5
0.00591,24.97,0.81,5
0.007006111,26.88,0.83,5
0.007136111,28.3,0.82,5
0.007225556,31.09,0.77,5
0.007194444,32.7,0.77,5
0.007105556,33.14,0.78,5
0.006931667,32.57,0.81,5
0.008426667,30.72,0.85,5
0.008294444,30.19,0.86,5
0.008269444,31.31,0.86,5
0.008057778,30.08,0.89,5
0.005963889,30.56,0.88,5
0.008514444,31.44,0.88,5
0.005421667,32.5,0.87,5
0.005295556,32.57,0.88,6
0.005175556,33.41,0.9,6
0.005119444,33.87,0.92,6
0.005007222,34.68,0.95,6
0.004828333,36.81,0.93,6
0.004818889,39.05,0.93,6
0.0049,38.86,0.96,6
0.004864444,43.2,0.93,6
0.005518333,46.35,0.87,6
0.005618889,46.13,0.9,6
0.006257222,47.37,0.92,6
0.005997222,50.93,0.9,6
0.006021111,53.59,0.86,6
0.005797222,54.58,0.87,6
0.006004444,53.77,0.94,6
0.007373889,57.41,0.85,6
0.006000556,58.63,0.81,6
0.004303889,57.9,0.86,6
0.006092222,56.67,0.87,6
0.006571111,56.15,0.86,6
0.005882778,53.91,0.87,6
0.006610556,51.84,0.89,6
0.005825,50.74,0.85,6
0.006069444,47.02,0.87,6
0.005795556,44.8,0.86,0
0.006026667,43.79,0.8,0
0.006141111,42.68,0.77,0
0.006216667,41.61,0.73,0
0.006200556,41.18,0.69,0
0.00621,39.12,0.67,0
0.006221667,38.45,0.67,0
0.006334444,37.57,0.67,0
0.006853333,37.52,0.67,0
0.006721111,37.51,0.66,0
0.005849444,37.66,0.68,0
0.005743333,37.73,0.68,0
0.005709444,37.86,0.66,0
0.005882778,37.75,0.67,0
0.005749444,37.93,0.64,0
0.005683333,37.8,0.62,0
0.005831111,36.95,0.61,0
0.005657222,36.51,0.62,0
0.006171667,36.42,0.58,0
0.005918333,35.67,0.61,0
0.005788333,35.55,0.59,0
0.006417778,35.43,0.59,0
0.006547222,35.32,0.59,0
0.006985,34.79,0.6,0
0.005166667,33.93,0.62,1
0.004775556,32.86,0.65,1
0.004710556,31.62,0.68,1
0.004756667,30.49,0.73,1
0.004872222,27.99,0.81,1
0.004881667,27.63,0.81,1
0.004792778,25.99,0.86,1
0.004873889,26.68,0.84,1
0.005499444,28.25,0.83,1
0.005105,32.14,0.73,1
0.006464444,36.07,0.63,1
0.005192778,39.94,0.57,1
0.005702222,45.32,0.48,1
0.005510556,47.5,0.43,1
0.005611111,48.48,0.43,1
0.005575556,47.94,0.44,1
0.005663889,48.22,0.44,1
0.007399444,46.96,0.48,1
0.006502778,46.76,0.5,1
0.006818333,46.26,0.53,1
0.006516667,46.75,0.52,1
0.006096667,46.46,0.54,1
0.008617222,47.52,0.53,1
0.006106111,46.04,0.58,1
0.006703889,46.49,0.59,2
0.00603,45.77,0.61,2
0.005978889,47.27,0.58,2
0.006072778,46.17,0.63,2
0.006135556,45.63,0.64,2
0.006159444,44.8,0.67,2
0.006119444,44.96,0.69,2
0.005902222,43.1,0.78,2
0.006037222,42.81,0.85,2
0.005855,42.82,0.87,2
0.005775556,42.48,0.91,2
0.005822778,42.59,0.93,2
0.005725,43.26,0.92,2
0.006180556,43.23,0.96,2
0.006596111,43.12,0.96,2
0.007251111,42.59,0.98,2
0.007171111,42.26,0.93,2
0.007507778,40.98,0.94,2
0.006761111,40.66,0.93,2
0.007111111,39.38,0.97,2
0.006567778,40.18,0.93,2
0.005847778,39.77,0.91,2
0.005867778,38.71,0.9,2
0.006122778,37.45,0.88,2
0.005602222,36.89,0.8,3
0.004768333,36.37,0.77,3
0.004752778,35.11,0.77,3
0.00481,33.36,0.79,3
0.004887778,30.83,0.84,3
0.004871111,28.26,0.93,3
0.004971667,27.41,0.93,3
0.005831667,26.41,0.92,3
0.005167222,28.17,0.9,3
0.005306111,31.91,0.86,3
0.005396667,36.08,0.78,3
0.005558333,39.7,0.73,3
0.005701111,42.6,0.66,3
0.00586,46.5,0.59,3
0.005912222,46.5,0.58,3
0.005932222,46.98,0.59,3
0.006831111,45.93,0.59,3
0.007800556,43.56,0.66,3
0.007697222,41.11,0.74,3
0.00977,40.39,0.76,3
0.007668889,41.12,0.73,3
0.007086111,37.5,0.83,3
0.007151667,36.95,0.83,3
0.007003889,36.37,0.83,3
0.006912778,35.87,0.84,4
0.007008333,35.46,0.85,4
0.006857778,34.65,0.87,4
0.006878333,33.71,0.89,4
0.006895556,32.15,0.92,4
0.006366667,31.49,0.92,4
0.006376111,30.49,0.91,4
0.006992222,30.26,0.92,4
0.006328333,30.24,0.91,4
0.005598333,30.47,0.91,4
0.005413889,30.7,0.9,4
0.005386111,32.34,0.83,4
0.005287778,31.37,0.85,4
0.005212222,31.31,0.86,4
0.005550556,31.14,0.89,4
0.005552778,31.09,0.86,4
0.00519,31.01,0.86,4
0.005811111,30.83,0.86,4
0.006598889,30.68,0.88,4
0.006147778,30.11,0.87,4
0.005981667,30.33,0.88,4
0.007597222,30.36,0.88,4
0.00582,30.01,0.89,4
0.004793333,29.93,0.92,4
0.004771667,29.82,0.92,5
0.004791111,29.83,0.92,5
0.004835556,28.24,0.97,5
0.004947222,27.65,0.95,5
0.005020556,27.48,0.96,5
0.005105556,25.88,0.88,5
0.005456111,21.99,0.97,5
0.006115,22.17,0.92,5
0.005554444,24.49,0.92,5
0.006138333,28.14,0.87,5
0.005749444,29.6,0.83,5
0.005816667,32.36,0.75,5
0.005963333,34.31,0.66,5
0.00586,36.23,0.58,5
0.00717,37.91,0.54,5
0.007141111,38.56,0.54,5
0.007203889,37.79,0.55,5
0.008233333,32.55,0.72,5
0.008418889,30.17,0.78,5
0.008082222,28.32,0.82,5
0.007667222,27.7,0.85,5
0.007049444,28.77,0.81,5
0.00704,26.81,0.87,5
0.00721,26.04,0.87,5
0.006915556,25.39,0.9,6
0.006817778,24.59,0.9,6
0.006386111,23.68,0.91,6
0.005791111,23.63,0.9,6
0.005752222,23.64,0.93,6
0.005675,24.85,0.89,6
0.005522778,25.13,0.91,6
0.005774444,25.4,0.89,6
0.006077778,25.78,0.89,6
0.005321111,27.7,0.86,6
0.005260556,32.62,0.78,6
0.005267222,34.35,0.77,6
0.005066667,34.93,0.77,6
0.005123889,35.82,0.74,6
0.004950556,33.82,0.82,6
0.004888333,31.19,0.93,6
0.005401667,30.57,0.9,6
0.005712778,30.18,0.91,6
0.006413889,28.66,0.91,6
0.008685,28.52,0.86,6
0.005803333,27.51,0.88,6
0.006091667,27.29,0.8,6
0.006007222,26.56,0.82,6
0.006354444,25.65,0.82,6
0.005389444,25.41,0.82,0
0.005598889,25.32,0.81,0
0.005955,24.51,0.81,0
0.006093889,23.82,0.84,0
0.005326111,23.71,0.83,0
0.005438333,23.63,0.82,0
0.005577778,23.53,0.8,0
0.005761111,22.09,0.86,0
0.005924444,21.9,0.89,0
0.006255,23.36,0.84,0
0.00581,24.62,0.79,0
0.006113333,26.35,0.73,0
0.005938889,26.75,0.7,0
0.006084444,27.37,0.64,0
0.006188889,28.76,0.6,0
0.006922222,29.15,0.57,0
0.006986667,29.24,0.59,0
0.007705,28.46,0.62,0
0.007745,28.5,0.62,0
0.008877222,29.03,0.6,0
0.007347222,29.02,0.61,0
0.006837222,29.28,0.61,0
0.007290556,29.93,0.62,0
0.006788333,30.06,0.63,0
0.006655,30.5,0.63,1
0.005630556,30.7,0.64,1
0.005512778,30.67,0.65,1
0.005448333,30.72,0.67,1
0.005553333,31.25,0.65,1
0.005307778,30.91,0.67,1
0.005211111,31.35,0.66,1
0.005308333,31.07,0.66,1
0.005178889,31.19,0.67,1
0.005462222,31.33,0.69,1
0.004801111,32.25,0.7,1
0.004745556,33.61,0.69,1
0.005175,34.38,0.67,1
0.004992778,34.74,0.66,1
0.005446667,34.99,0.66,1
0.005145556,31.49,0.81,1
0.005691667,30.73,0.78,1
0.006277222,29.56,0.72,1
0.005911111,27.29,0.7,1
0.005021111,24.28,0.64,1
0.005193889,22.06,0.57,1
0.005545,18.54,0.55,1
0.006412222,16.56,0.55,1
0.006317222,15.85,0.57,1
0.005256667,14.83,0.57,2
0.005467222,13.13,0.59,2
0.005543333,12.12,0.55,2
0.005606111,10.21,0.54,2
0.00572,9.05,0.53,2
0.005764444,7.99,0.57,2
0.005727778,6.56,0.59,2
0.005780556,5.85,0.59,2
0.006278889,5.8,0.56,2
0.006233889,6.43,0.51,2
0.006326111,7.23,0.52,2
0.006229444,8.09,0.47,2
0.006246667,8.88,0.45,2
0.006195,8.64,0.46,2
0.007141667,8.69,0.48,2
0.007266667,7.96,0.51,2
0.007133889,7.95,0.52,2
0.008082222,7.5,0.53,2
0.009245,7.12,0.59,2
0.007497778,6.3,0.58,2
0.00698,5.71,0.58,2
0.006515556,4.89,0.59,2
0.006373889,4.4,0.6,2
0.006116111,3.5,0.62,2
0.006097222,2.49,0.62,3
0.005827778,0.26,0.63,3
0.005743333,-1.61,0.63,3
0.005806111,-2.58,0.63,3
0.005855,-3.68,0.64,3
0.004797778,-4.19,0.65,3
0.005001111,-4.53,0.63,3
0.005549444,-5.22,0.63,3
0.004818333,-5.59,0.62,3
0.004625,-4.26,0.58,3
0.004535,-2.28,0.57,3
0.004978889,0.66,0.53,3
0.004707778,2.55,0.49,3
0.004712222,4.04,0.5,3
0.004833889,5.83,0.48,3
0.00467,6.78,0.46,3
0.004692778,6.49,0.47,3
0.006347222,5.26,0.49,3
0.006695,3.83,0.52,3
0.006951111,3.35,0.53,3
0.005638333,2.28,0.56,3
0.006288333,1.04,0.61,3
0.005723889,-0.24,0.63,3
0.005743333,-1.54,0.66,3
0.005595556,-2,0.67,4
0.005625556,-2.69,0.69,4
0.005716111,-2.23,0.68,4
0.005820556,-2.33,0.69,4
0.005937778,-3.09,0.7,4
0.005326667,-3.11,0.71,4
0.005114444,-3.03,0.71,4
0.00615,-3.03,0.7,4
0.005409444,-1.89,0.7,4
0.006016111,0.46,0.62,4
0.005632222,2.99,0.57,4
0.005722222,6.03,0.53,4
0.006102222,9.08,0.46,4
0.006042778,11.59,0.41,4
0.006326667,13.74,0.37,4
0.006279444,13.94,0.4,4
0.006278333,12.56,0.46,4
0.006827222,11.45,0.5,4
0.008075,10.5,0.53,4
0.007956111,10.22,0.55,4
0.008023333,9.99,0.58,4
0.007855,9.36,0.57,4
0.007076111,8.44,0.58,4
0.00693,7.2,0.59,4
0.006554444,6.12,0.59,5
0.00632,5.28,0.58,5
0.006076111,3.91,0.57,5
0.006157222,2.77,0.58,5
0.006226111,1.69,0.57,5
0.005521667,0.71,0.6,5
0.005139444,0.03,0.62,5
0.005834444,0.17,0.65,5
0.005062778,0.25,0.66,5
0.005023333,3.04,0.62,5
0.005097222,5.17,0.56,5
0.005058889,7.43,0.52,5
0.004790556,9.73,0.49,5
0.004973889,11.01,0.48,5
0.005033889,12.23,0.46,5
0.004740556,13.05,0.44,5
0.004625556,13.75,0.42,5
0.005968333,10.87,0.47,5
0.006132778,8.39,0.56,5
0.005875,10.63,0.51,5
0.006570556,11.92,0.48,5
0.006887222,13.27,0.42,5
0.005363333,13.38,0.43,5
0.006296111,13.45,0.45,5
0.005621667,13.56,0.46,6
0.005131667,14.32,0.43,6
0.005650556,15.09,0.42,6
0.005083889,15.32,0.41,6
0.005265,15.96,0.41,6
0.005336667,16.22,0.42,6
0.005359444,16.32,0.44,6
0.005263889,16.81,0.44,6
0.006035556,17,0.51,6
0.005530556,18.18,0.54,6
0.006088889,19.38,0.59,6
0.005886111,19.72,0.66,6
0.005970556,20.31,0.7,6
0.006157778,20.94,0.72,6
0.005985556,20.49,0.81,6
0.006137778,21.43,0.72,6
0.006636111,20.2,0.84,6
0.005889444,19.98,0.9,6
0.008009444,19.98,0.9,6
0.006383333,19.92,0.86,6
0.006914444,19.82,0.85,6
0.006222778,20.1,0.79,6
0.006171667,19.95,0.79,6
0.006005,19.06,0.78,6
0.005809444,18.71,0.78,0
0.00571,17.57,0.6,0
0.005605556,15.43,0.59,0
0.005484444,13.85,0.6,0
0.005509444,11.5,0.53,0
0.005199444,10.18,0.52,0
0.005311667,8.26,0.46,0
0.005612778,6.61,0.48,0
0.005661111,6.44,0.46,0
0.006549444,7.53,0.43,0
0.005633889,9.5,0.4,0
0.005172778,11.45,0.42,0
0.004863889,12.47,0.42,0
0.004802222,13.64,0.41,0
0.004796111,14.37,0.42,0
0.00481,14.45,0.45,0
0.004805556,15.12,0.43,0
0.004703889,14.62,0.47,0
0.006542222,12.49,0.52,0
0.00592,14.02,0.51,0
0.005506667,15.4,0.55,0
0.005240556,17.27,0.56,0
0.004964444,18.28,0.6,0
0.007175,19.39,0.6,0
0.005096111,19.77,0.61,1
0.004956111,20.3,0.65,1
0.004955556,21.84,0.61,1
0.005213889,23.61,0.57,1
0.005415,25.09,0.56,1
0.005561667,26.05,0.59,1
0.005547778,27.27,0.62,1
0.006571667,29.8,0.61,1
0.005726111,34.37,0.54,1
0.005771667,36.01,0.58,1
0.007099444,31.08,0.77,1
0.00616,31.14,0.76,1
0.006035,26.97,0.7,1
0.006112778,25.34,0.56,1
0.006207778,24.44,0.51,1
0.006112778,23.19,0.41,1
0.006056667,22.47,0.36,1
0.007596111,20.55,0.37,1
0.008589444,18.67,0.39,1
0.008293333,17.77,0.42,1
0.00793,16.5,0.4,1
0.008725,15.34,0.41,1
0.006708333,13.77,0.41,1
0.006544444,13.37,0.4,1
0.006757222,11.41,0.44,2
0.006422222,10.19,0.45,2
0.006342222,8.56,0.44,2
0.005356111,7.63,0.44,2
0.005294444,7.16,0.42,2
0.005141111,6.26,0.42,2
0.004886111,5.46,0.4,2
0.005577778,4.98,0.38,2
0.004860556,4.9,0.39,2
0.004566667,7.06,0.37,2
0.005264444,8.91,0.39,2
0.006064444,9.84,0.38,2
0.005095,11.12,0.37,2
0.005601667,12.61,0.36,2
0.005714444,12.56,0.36,2
0.005926667,13.25,0.35,2
0.005505,13.23,0.37,2
0.005767778,12.42,0.37,2
0.006203889,9.34,0.48,2
0.005695556,8.83,0.54,2
0.006656111,8.46,0.54,2
0.006603333,8.46,0.58,2
0.007575,8.53,0.58,2
0.004878333,7.18,0.65,2
0.004951111,7.52,0.64,3
0.004988333,7.67,0.59,3
0.005143333,7.47,0.65,3
0.005030556,7.38,0.63,3
0.005118333,6.08,0.71,3
0.005233889,4.74,0.72,3
0.005372778,1.42,0.71,3
0.006242222,-1.27,0.77,3
0.005675,-2.76,0.77,3
0.005978333,3.86,0.7,3
0.005978333,11.06,0.38,3
0.006043333,13.85,0.31,3
0.006231111,16.43,0.31,3
0.006258333,17.87,0.28,3
0.006301111,19.64,0.27,3
0.00618,20.06,0.27,3
0.006158889,19.78,0.28,3
0.006282222,17.39,0.28,3
0.005400556,15.73,0.31,3
0.007221111,14.47,0.33,3
0.009429444,14.05,0.36,3
0.007706111,12.76,0.4,3
0.007111111,11.18,0.45,3
0.006775,10.73,0.45,3
0.006445556,11.85,0.44,4
0.006361667,11.51,0.47,4
0.006211667,9.19,0.53,4
0.006196111,6.92,0.59,4
0.006322778,4.5,0.65,4
0.006026111,2.73,0.71,4
0.00486,1.07,0.74,4
0.005663889,0.43,0.77,4
0.005206111,1.25,0.79,4
0.005127222,7.36,0.69,4
0.004932222,14.42,0.49,4
0.00485,18.04,0.45,4
0.004827222,20.31,0.41,4
0.004882222,22.47,0.39,4
0.004901111,24.83,0.32,4
0.004709444,26.31,0.3,4
0.004632778,26.65,0.3,4
0.005424444,21.02,0.44,4
0.005741667,18.3,0.48,4
0.005512778,20.79,0.41,4
0.005565,18.01,0.47,4
0.006881111,19.5,0.49,4
0.005863333,17.24,0.53,4
0.005001667,18.3,0.54,4
0.005147222,20.11,0.49,5
0.005043333,21.29,0.48,5
0.005161667,22.41,0.47,5
0.005356667,23.56,0.46,5
0.005537222,24.19,0.4,5
0.005637778,24.28,0.49,5
0.005709444,22.92,0.46,5
0.006583333,20.8,0.5,5
0.005893333,18.62,0.57,5
0.006146667,24.14,0.46,5
0.006231667,27.22,0.41,5
0.006302778,31.04,0.38,5
0.006348333,32.37,0.38,5
0.006326111,34.27,0.4,5
0.006317222,34.56,0.4,5
0.006305556,34.54,0.43,5
0.006198333,34.64,0.45,5
0.007839444,33.7,0.48,5
0.008235,31.8,0.53,5
0.008242778,31.43,0.54,5
0.007547778,30.65,0.56,5
0.00753,29.18,0.59,5
0.007551667,29.54,0.59,5
0.006537222,26.54,0.68,5
0.006766667,26.89,0.67,6
0.006307222,25.97,0.7,6
0.006177778,24.8,0.73,6
0.005215556,23,0.75,6
0.005108333,23.08,0.77,6
0.005051667,22.14,0.79,6
0.005014444,21.34,0.81,6
0.004844444,20.9,0.77,6
0.00555,19.91,0.81,6
0.004188333,25.22,0.74,6
0.004089444,31.36,0.6,6
0.005651111,36.02,0.52,6
0.005486111,39.7,0.46,6
0.007473333,41.99,0.42,6
0.005616111,43.07,0.43,6
0.00559,40.02,0.6,6
0.005621667,36.74,0.74,6
0.006181667,36.75,0.75,6
0.006395556,35.77,0.78,6
0.006899444,38.07,0.65,6
0.006238889,37.52,0.58,6
0.005431667,36.49,0.59,6
0.005625556,36.96,0.61,6
0.00567,38.24,0.59,6
0.005544444,38.47,0.72,0
0.005652222,38.64,0.73,0
0.005753333,38.15,0.76,0
0.005872778,36.86,0.82,0
0.005971667,36.43,0.83,0
0.006091667,34.03,0.88,0
0.006101667,32.67,0.88,0
0.006241111,31.82,0.91,0
0.006686667,33.56,0.89,0
0.006007778,36.35,0.83,0
0.008875,40.2,0.72,0
0.006368889,40.72,0.68,0
0.006168333,40.99,0.7,0
0.006307222,38.39,0.82,0
0.006162222,37.62,0.88,0
0.006069444,37.41,0.87,0
0.00668,37.06,0.85,0
0.006535556,36.66,0.8,0
0.006653333,36.38,0.8,0
0.006548333,35.59,0.78,0
0.006548889,35.29,0.76,0
0.00588,34.56,0.77,0
0.005537222,33.52,0.78,0
0.005395556,33.19,0.76,0
0.007516667,32.38,0.77,1
0.005516111,31.64,0.75,1
0.004992778,31.42,0.74,1
0.004886667,31.31,0.74,1
0.004895556,30.49,0.73,1
0.004841667,30.35,0.71,1
0.004802778,29.55,0.72,1
0.005468333,29.34,0.73,1
0.004752222,29.16,0.73,1
0.005603889,29.76,0.71,1
0.007008333,29.72,0.72,1
0.005722778,29.51,0.72,1
0.005799444,28.24,0.83,1
0.005856111,28.29,0.81,1
0.006001111,28.32,0.79,1
0.005977222,28.81,0.74,1
0.006771111,28.66,0.77,1
0.006466111,28.68,0.75,1
0.006258889,27.67,0.75,1
0.006081111,26.77,0.76,1
0.005583889,26.19,0.73,1
0.008651667,25.97,0.73,1
0.006506111,25.19,0.73,1
0.005679444,23.42,0.74,1
0.005942778,22.63,0.75,2
0.005908889,22.07,0.77,2
0.00603,21.9,0.79,2
0.006144444,21.32,0.76,2
0.006156111,18.61,0.8,2
0.006086667,18.03,0.76,2
0.006069444,16.74,0.77,2
0.0062,16.31,0.76,2
0.006131111,17.42,0.76,2
0.006159444,20.14,0.72,2
0.006051667,23.2,0.64,2
0.005963333,24.3,0.62,2
0.005972778,25.58,0.62,2
0.005866667,27.53,0.55,2
0.005801111,28.86,0.52,2
0.005605,29.17,0.52,2
0.005558333,28.22,0.54,2
0.005647222,27.25,0.56,2
0.006146111,26.28,0.59,2
0.005466667,26.24,0.6,2
0.005436111,25.99,0.63,2
0.009107778,25.43,0.69,2
0.006081111,25.45,0.69,2
0.005810556,25.84,0.65,2
0.00486,25.72,0.67,3
0.004697778,25.06,0.68,3
0.004775556,25.12,0.7,3
0.004820556,25.61,0.66,3
0.004868333,24.12,0.86,3
0.004706667,23.82,0.88,3
0.004688333,23.78,0.92,3
0.005307222,23.91,0.9,3
0.00586,23.83,0.9,3
0.005656667,24.51,0.88,3
0.005128889,25.5,0.81,3
0.005006667,25.98,0.82,3
0.005143333,26.05,0.8,3
0.005351667,25.8,0.82,3
0.005562222,26.28,0.82,3
0.005403333,25.58,0.88,3
0.005505,25.48,0.86,3
0.005662222,25.29,0.81,3
0.006337778,25.2,0.79,3
0.007133889,24.44,0.86,3
0.006687778,22.4,0.86,3
0.005631667,21.55,0.84,3
0.009982222,20.52,0.84,3
0.007075,19.08,0.82,3
0.007126111,17.7,0.8,4
0.006915,17.13,0.79,4
0.006962222,15.92,0.78,4
0.007008333,14.45,0.76,4
0.007081667,13.23,0.74,4
0.007117778,12.61,0.74,4
0.006997222,12.03,0.73,4
0.007709444,10.93,0.75,4
0.006138889,11.16,0.76,4
0.005834444,12.52,0.71,4
0.005637778,13.71,0.65,4
0.005823333,15.23,0.64,4
